,tconst,averageRating,numVotes
137155,tt0212294,6.0,142
137157,tt0212298,7.0,108
137174,tt0212338,7.0,345039
137177,tt0212346,6.3,220315
137180,tt0212360,6.4,77
137186,tt0212380,6.2,8818
137251,tt0212495,5.0,278
137304,tt0212604,7.3,1966
137336,tt0212667,3.3,181
137368,tt0212712,7.4,59855
137371,tt0212719,6.0,124
137372,tt0212720,7.2,315915
137377,tt0212742,5.3,1782
137405,tt0212815,7.3,4774
137410,tt0212826,7.0,5863
137411,tt0212827,5.7,680
137413,tt0212830,5.3,6242
137428,tt0212867,4.9,1274
137431,tt0212873,7.8,104
137433,tt0212879,6.0,5953
137434,tt0212881,3.9,110
137450,tt0212910,5.7,1306
137475,tt0212974,6.5,4450
137481,tt0212985,6.8,284127
137539,tt0213113,3.8,77
137545,tt0213127,6.2,67
137550,tt0213149,6.2,342652
137572,tt0213203,6.1,13195
137574,tt0213205,6.0,129
137588,tt0213231,4.9,185
137605,tt0213266,7.5,37
137689,tt0213446,5.0,481
137724,tt0213561,6.3,455
137737,tt0213582,6.5,56
137757,tt0213642,3.3,521
137784,tt0213690,3.5,301
137822,tt0213790,5.2,13560
137825,tt0213802,3.2,1919
137842,tt0213847,7.4,107562
137861,tt0213890,7.0,31590
137901,tt0213985,6.9,2633
137925,tt0214032,5.8,62
137946,tt0214106,4.3,149
137954,tt0214140,8.1,36
138004,tt0214277,6.0,288
138059,tt0214388,5.8,23311
138073,tt0214412,5.8,7
138100,tt0214520,5.7,83
138106,tt0214529,4.4,5080
138115,tt0214548,5.9,69
138147,tt0214619,5.5,137
138156,tt0214638,3.5,338
138161,tt0214646,5.9,156
138204,tt0214723,6.2,86
138207,tt0214728,5.9,689
138223,tt0214757,4.4,505
138276,tt0214871,3.6,1635
138281,tt0214878,6.1,1700
138400,tt0215129,6.5,173948
138402,tt0215135,4.4,3625
138403,tt0215139,6.0,491
138442,tt0215223,5.6,48
138448,tt0215232,4.9,248
138555,tt0215458,5.4,123
138572,tt0215516,6.2,1648
138574,tt0215519,5.6,124
138582,tt0215545,6.6,12014
138641,tt0215679,6.1,503
138642,tt0215681,6.6,4271
138664,tt0215719,7.9,48
138669,tt0215727,4.6,133
138679,tt0215750,7.5,270157
138726,tt0215841,6.4,228
138775,tt0215941,3.5,138
138865,tt0216105,6.3,113
138905,tt0216196,4.2,784
138918,tt0216216,5.9,125583
138932,tt0216250,6.2,56
138936,tt0216256,6.3,91
138944,tt0216279,6.0,543
138950,tt0216290,6.9,37
139001,tt0216417,5.8,2240
139055,tt0216522,5.1,242
139087,tt0216578,6.8,1289
139089,tt0216584,5.5,4026
139092,tt0216587,3.2,89
139110,tt0216620,4.4,2391
139112,tt0216625,7.1,14569
139124,tt0216651,7.6,33727
139132,tt0216669,6.3,102
